,,language_name,,ไทย,Français,Español,Deutsch,Italiano,Português Brasileiro,Japanese
,,language_name_lowercase,,ไทย,français,español,deutsch,italiano,português brasileiro,japanese
,,language_name_english,,English,French,Spanish,German,Italian,Brazilian Portuguese,Japanese
,,title_play,,เล่น,jouer,jugar,spielen,gioca,jogar,スタート
,,title_gallery,,แกลเลอรี,galerie,galería,galerie,galleria,galeria,ギャラリー
,,title_options,,ตัวเลือก,options,opciones,optionen,opzioni,opções,オプション
,,title_quit,,ออก,quitter,salir,beenden,esci,sair,やめる
,an,title_copyright,,"© SEGA/LAT/DotEmu Original game © SEGA/LAT, Developed by Lizardcube, แปลภาษาไทยโดย zerlkung",,,,,,
,X,title_xb1_start,,เริ่มเกม,commencer le jeu,iniciar partida,spiel starten,inizia partita,iniciar jogo,ゲームスタート
,X,title_xb1_switch_profile_prompt,,เปลี่ยนโปรไฟล์,Changer de profil,Cambiar de perfil,Profil wechseln,Cambia profilo,Mudar de perfil,プロフィールの変更
,X,title_xb1_please_wait,,โปรดรอ,patiente quelques instants,espera,bitte warten,attendi,aguarde,おまちください
,X,title_xb1_username,,เข้าสู่ระบบด้วย %(NAME),Connecté en tant que %(NAME),Se ha iniciado sesión como %(NAME),Eingeloggt als %(NAME),Accesso effettuato come %(NAME),Conectado como %(NAME),%(NAME)でログイン中
,,save_header_no,,บันทึก %d,SAUVEGARDE %d,PARTIDA %d,SPIELSTAND %d,SALVATAGGIO %d,SALVAR %d,セーブ%d
,,save_header_date,,%(HOURS):%(MINUTES),%(HOURS):%(MINUTES),%(HOURS):%(MINUTES),%(HOURS):%(MINUTES),%(HOURS):%(MINUTES),%(HOURS):%(MINUTES),%(HOURS):%(MINUTES)
,,save_newgame,,เริ่มเกมใหม่,nouvelle partie,partida nueva,neues spiel,nuova partita,novo jogo,ニューゲーム
,,save_empty,,ว่างเปล่า,vide,vacío,leer,vuoto,vazio,なし
,,save_newgame_prompt,,สร้างบันทึกใหม่,Nouvelle partie,Crear partida nueva,Neuen Spielstand erstellen,Crea nuovo salvataggio,Criar novo,新しいセーブ
,,save_delete_prompt,,ลบบันทึก,Effacer partie,Borrar partida,Spielstand löschen,Elimina salvataggio,Excluir jogo,消す
,,save_resume_prompt,,กลับสู่เกม,Continuer partie,Continuar partida,Spiel fortsetzen,Riprendi partita,Retomar jogo,ゲームの再開
,,save_select_slot,,เลือกช่องบันทึก,CHOIX DE LA PARTIE,SELECCIONAR ESPACIO,SPEICHERPLATZ WÄHLEN,SELEZIONA SLOT DI SALVATAGGIO,SELEC. JOGO SALVO,セーブスロットを選ぶ
